,songtext
Elton John,"Anyone who ever loved
Could look at me
And know that I love you
Anyone who ever dreamed
Could look at me
And know I dream of you

Knowing I love you so
Anyone who had a heart
Would take me in her arms
And love me too
You, you couldn't really have a heart
And hurt me
Like you hurt me
And be so untrue
What am I to do

Every time you go away
I always say it's goodbye dear
Loving you the way I do
I take you back
Without you, I'd die dear
Knowing I love you so

Anyone who had a heart
Would take me in her arms
And love me too
You, you couldn't really have a heart
And hurt me
Like you've hurt me
And be so untrue
So what can I do

Knowing I love you so
Anyone who had a heart
Would take me in her arms
And love me too
You couldn't really have a heart
And hurt me
Like you hurt me
And be so untrue

Anyone who had a heart
Would love me too
Anyone who had a heart
Would surely take me in her arms
And, and always love me, and love me, love me
Why won't you

Anyone who had a heart
Would love me too
Anyone who had a heart
Would surely take me
Anyone would take me
Why, why won't you
No one's gonna love ya like I do
No one's gonna make you feel the way I do
Yeah
No one
No one, no one, no one, no one"
Elton John,"Catch a star if you can
Wish for something special
Let it be me, my love is free
Sing a song to yourself
Think of someone listenin'
One melody, you're all for me

I'll write a symphony
Just for you & me
If you let me love you
I'll paint a masterpiece
Just for you to see
If you let me love you
Let me love you.
            
[Chorus]
Are you ready, are you ready for love
Yes I am
Are you, are you ready,
Are you ready for love
Yes I am
Are you, are you ready
Are you ready for love
You're the one, like the sun
Shine your love around me
You'll always be, the one for me
Say the world, and I'll be there
Loving you forever
Don't let me go, just say it's so

We'll hear the music ring
From the mountain tops
To the valley below us
We'll serenade the world
With a lullaby
So the angels will know us
Angels will know us

[Chorus]

[Chorus]"
Elton John,"Written by Thom Bell, Leroy Bell and Casey James
Catch a star if you can
Wish for something special
Let it be me, my love is free
Sing a song to yourself
Think of someone listening
One melody, you're all for me

I'll write a symphony just for you and me
If you let me love you, I'll paint a masterpiece
Just for you to see
If you let me love you, let me love you

Are you ready, are you ready for love
Yes I am
Are you, are you ready, are you ready for love
Yes I am
Are you, are you ready, are you ready for love

You're the one like the sun
Shine your love around me
You'll always be the one for me

Say the word and I'll be there
Loving you forever
Don't let me go
Just say it's so

We'll hear the music ring from the mountain tops
To the valley below us
We'll serenade the world
With a lullaby so the angels will know us
Angels will know us"
Elton John,"Flew in from Miami Beach BOAC 
Didn't get to bed last night 
Oh, the way the paper bag was on my knee 
Man, I had a dreadful flight 
I'm back in the USSR 
You don't know how lucky you are, boy 
Back in the USSR, yeah 

Been away so long I hardly knew the place 
Gee, it's good to be back home 
Leave it till tomorrow to unpack my case 
Honey disconnect the phone 
I'm back in the USSR 
You don't know how lucky you are, boy 
Back in the US 
Back in the US 
Back in the USSR 

Well the Ukraine girls really knock me out 
They leave the west behind 
And Moscow girls make me sing and shout 
That Georgia's always on my my my my my my my my my mind 
Oh, come on 
Hu hey hu, hey, ah, yeah 
yeah, yeah, yeah 
I'm back in the USSR 
You don't know how lucky you are, boys 
Back in the USSR 

Well the Ukraine girls really knock me out 
They leave the west behind 
And Moscow girls make me sing and shout 
That Georgia's always on my my my my my my my my my mind 

Oh, show me round your snow peaked 
mountain way down south 
Take me to you daddy's farm 
Let me hear you balalaika's ringing out 
Come and keep your comrade warm 
I'm back in the USSR 
Hey, You don't know how lucky you are, boy 
Back in the USSR 
Oh, let me tell you honey"
Elton John,"It coulda been me but it was you
Who went and bit off a little bit more than he could chew
You said that you had it made, but you been had
The woman no good, no how, thinkin' maybe the blood is bad

Bad (ba-a-ad) blood (blo-o-od)
The woman was born to lie
Makes promises she can't keep
With the wink on an eye

Bad (ba-a-ad) blood (blo-o-od)
Brother, you've been deceived
It's bound to change you mind
About all you believe

From where I stand, it looks mighty strange
How you let a woman like that treat you like small change
I don't understand what you're lookin' to find
The only thing bad blood do is mess up a good man's mind

Hear me talkin' now

Bad (ba-a-ad) blood (blo-o-od)
The bitch is in her smile
The lie is on her lips
Such an evil child

Bad (ba-a-ad) blood (blo-o-od)
Is takin' you for a ride
The only thing good about bad blood
Is lettin' it slide

Doo-ron, doo-ron, di di, dit, dit, ron-ron
Doo-ron, doo-ron, di di, dit, dit, ron-ron
Doo-ron, doo-ron, di di, dit, dit, ron-ron
Bad blood, talkin' 'bout bad blood

Doo-ron, doo-ron, di di, dit, dit, ron-ron
Doo-ron, doo-ron, di di, dit, dit, ron-ron
Doo-ron, doo-ron, di di, dit, dit, ron-ron
Bad blood
Here we go

Bad (ba-a-ad) blood (blo-o-od)
The bitch is in her smile
The lie is on her lips
Such an evil child

Bad (ba-a-ad) blood (blo-o-od)
Is takin' you for a ride
The only thing good about bad blood
Is lettin' it slide

The only thing good about bad blood
Is lettin' it slide"
Elton John,"It seems as though I've lived my life
On the bad side of the moon
To stir your dregs in sickness still
Without the rustic spoon
Common people live with me
Where the light has never shone
And the hermits flock like hummingbirds
To speak in a foreign tongue

I'm a light world away
From the people who make me stay
Sitting on the bad side of the moon
I'm a light world away
From the people who make me stay
Sitting on the bad side of the moon, yeah

Who's in my life, who's in my life, who's in my life (yeah-eh)
Who's in my life, who's in my life, who's in my life

There ain't no need for watchdogs here
To justify our ways
We live our life in manacles
The main cause of our stay
Exiled here from other worlds
My sentence comes too soon
Why should I be made to pay
On the bad side of the moon

And I'm a light world away
From the people who make me stay
Sitting on the bad side of the moon
And I'm a light world away
From the people who make me stay
Sitting on the bad side of the moon

Who's in my life, who's in my life (yeah-eh), who's in my life (oh)
Who's in my life, who's in my life, who's in my life
Who's in my life, who's in my life, who's in my life
Who's in my life, who's in my life, who's in my life
Who's in my life, who's in my life, who's in my life 
Who's in my life, who's in my life, who's in my life
Who's in my life, who's in my life, who's in my life 
Who's in my life, who's in my life, who's in my life
Who's in my life, who's in my life, who's in my life (yeah, yeah, yeah, yeah, yeah, yeah, yeah)
Who's in my life, who's in my life, who's in my life
Who's in my life, who's in my life, who's in my life
Who's in my life, who's in my life, who's in my life"
Elton John,"I got a ball and chain hanging around my heart
You were the one to blame for tearing my world apart
I got a heart so true, you got a heart of ice
A little more love from you, it could have been paradise

I got a ball and chain hanging around my heart
And if it's all the same maybe we should part
And I'm singing do do do
I'm singing do do do

You had to tie me down inside a cage of doubt
I'm sick of being kicked around so this is where I get out

Oh oui baby you tried to hold me but you were slowly
Driving me insane
Oh oui baby

I got a ball and chain hanging around my heart
You were the one to blame for tearing my world apart
I got a heart so true, you got a heart of ice
A little more love from you, it could have been paradise

I couldn't take your pain, you couldn't take my love
So I'm gonna quit this game 'cause baby I've had enough"
Elton John,"I pulled out my stage coach times
And I read the latest news
I tapped my feet in dumb surprise
And of course I saw they knew

The Pinkertons pulled out my bags
And asked me for my name
I stuttered out my answer
And hung my head in shame

Now they've found me
At last they've found me
It's hard to run
From a starving family

Now they've found me
Well I won't run
I'm tired of hearing
There goes a well-known gun

Now I've seen this chain gang
Lord I say let me see my priest
I couldn't have faced your desert sand
Old burning brown backed beast

The poor house they hit me for my kin
And claimed my crumbling walls
Now I know how Reno felt
When he ran from the law

Now they've found me
At last they've found me
It's hard to run
From a starving family

Now they've found me
Well I won't run
I'm tired of hearing
There goes a well-known gun

Now they've found me
Lord I say at last they've found me
It's hard to run
From a starving family

Lord I say now they've found me
Well I won't run
I'm tired of hearing
There goes a well-known gun

Lord I say now they've found me
At last they've found me
It's hard to run
From a starving family

Now they've found me
I won't run
I'm tired of hearing
There goes a well-known gun"
Elton John,"I'm stoned in the twilight
Screaming on the inside
Give me your water, help me survive
Gonna miss the sunlight
When I lose my eyesight

Give me my red shoes, I want to dance
They search for an answer
But that old man wouldn't listen
Back then I was handsome
Back then he was ignorant

And shave off the years now, it's all inside my head
The boy in the red shoes is dancing by my bed
Put them in a box somewhere, put them in a drawer
Take my red shoes, I can't wear them anymore

Had garlands in the wings back then
All the pretty little things back then
Calling out my name, oh what fame brings
After curtain calls and bows
I can't see the front row now
Hand me my red shoes just one more time

They pushed aside our presence
They refused to go the distance
Back then I was Sigmund
Back then he wouldn't listen"
Elton John,"Deep inside
My soul fights a war
I can't explain
I can't cross over any more
All I see are dirty faces
Rain and wire
And common sense in pieces
But I try to see through Irish eyes, Belfast.

Look outside
Summer's lost and gone
It's a long walk
On a street of right and wrong
In every inch of sadness
Rock and tanks
Go hand in hand with madness
But I never saw a braver place, Belfast.

And it's sad when they sing
And hollow ears listen
Of smokin' black roses
On the streets of Belfast
And so say your lovers
From under the flowers
Every foot of this world
Needs an inch of Belfast

Who's to say
On whom Heaven smiles
Our different ways
We try harder to recognize
No more enchanted evenings
The pubs are closed
And all the ghosts are leaving
But you'll never let them shut you down,
Belfast.

And it's sad when they sing
And hollow ears listen
Of smokin' black roses
On the streets of Belfast
And so say your lovers
From under the flowers
Every foot of this world
Needs an inch of Belfast

The enemy is not at home
A jealous green
Streaks down this faulty diamond
No bloody boots or crucifix
Can ever hope to split this emerald island
But I never saw a braver place,
Belfast."
Elton John,"I believe in love, it's all we got
Love has no boundaries, costs nothing to touch
War makes money, cancer sleeps
Curled up in my father and that means something to me
Churches and dictators, politics and papers
Everything crumbles sooner or later
But love, I believe in love

I believe in love, it's all we got
Love has no boundaries, no borders to cross
Love is simple, hate breeds
Those who think difference is the child of disease
Father and son make love and guns
Families together kill someone
Without love, I believe in love

Without love I wouldn't believe
In anything that lives and breathes
Without love I'd have no anger
I wouldn't believe in the right to stand here
Without love I wouldn't believe
I couldn't believe in you
And I wouldn't believe in me
Without love

I believe in love
I believe in love
I believe in love"
Elton John,"No matter how hard I try
You keep pushing me aside
And I can't break through
There's no talking to you

It's so sad that you're leaving
It takes time to believe it
But after all is said and done
You're gonna be the lonely one, oh

Do you believe in life after love
I can feel something inside, me say
I really don't think you're strong enough, no
Do you believe in life after love
I can feel something inside, me say
I really don't think you're strong enough, no
(I can feel something inside, me say)
(I really don't think you're strong enough, no)

What am I supposed to do?
Sit around and wait for you?
Well I can't do that
There's no turning back

I need time to move on
I need love to feel strong
Cause I got time to think it through
And maybe I'm too good for you, oh

Do you believe in life after love
I can feel something inside, me say
I really don't think you're strong enough, no
Do you believe in life after love
I can feel something inside, me say
I really don't think you're strong enough, no
(I can feel something inside, me say)
(I really don't think you're strong enough, no)

Do you believe in life after love
I can feel something inside, me say
I really don't think you're strong enough, no
Do you believe in life after love
I can feel something inside, me say
I really don't think you're strong enough, no"
Elton John,"Hey kids, shake it loose together
The spotlight's hitting something
That's been known to change the weather
We'll kill the fatted calf tonight
So stick around
You're gonna hear electric music
Solid walls of sound

Say, Candy and Ronnie, have you seen them yet
Uh but they're so spaced out, B-B-B-Bennie and the Jets
Oh but they're weird and they're wonderful
Oh Bennie she's really keen
She's got electric boots a mohair suit
You know I read it in a magazine
B-B-B-Bennie and the Jets

Hey kids, plug into the faithless
Maybe they're blinded
But Bennie makes them ageless
We shall survive, let us take ourselves along
Where we fight our parents out in the streets
To find who's right and who's wrong

Oh Candy and Ronnie, have you seen them yet
Oh but they're so spaced out, Bennie and the Jets
Oh but they're weird and they're wonderful
Oh Bennie she's really keen
She's got electric boots a mohair suit
You know I read it in a magazine, oh
B-B-B-Bennie and the Jets

Oh Candy and Ronnie, have you seen them yet
Oh but they're so spaced out, Bennie and the Jets
Oh but they're weird and they're wonderful
Oh Bennie she's really keen
She's got electric boots a mohair suit
You know I read it in a magazine, oh
B-B-B-Bennie and the Jets
Bennie, Bennie and the Jets
Bennie, Bennie, Bennie, Bennie, Bennie and the Jets
Bennie, Bennie, Bennie, Bennie, Bennie and the Jets
Bennie, Bennie, Bennie, Bennie and the Jets
Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie and the Jets
Jets, Jets
Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie
Bennie, Bennie and the Jets"
Elton John,"Hey kid, shake it loose together
The spotlight's hitting something
That's been known to change the weather
We'll kill the fatted calf tonight, so stick around
Yeah, yeah, yeah
You're gonna hear electric music, solid walls of sound

Say, Candy and Ronnie, have you seen them yet
Oh, but they're so spaced out,
Bennie and the Jets
Oh, but they're weird and they're wonderful
Oh, Bennie, she's really keen
She's got electric boots, a mohair suit
You know I read it in a magazine, oh, yeah
Bennie and the Jets

She's so good
She's so good, yeah
Yeah
Alright

Hey kid, plug into the faithless (to the faithless)
Maybe they're blinded
Bennie makes them ageless
We shall survive, let us take ourselves along (let us take ourselves along)
Where we fight our parents out in the streets
To find out who's right and who's wrong

Say, Candy and Ronnie, have you seen them yet
Ooh, but they're so spaced out yeah
But Bennie and the Jets
Yeah, but they're weird and they're wonderful
Oh, and Bennie, she's really keen
She's got electric boots (electric boots)
A mohair suit (a mohair suit)
You know I read it in a magazine, oh
Bennie and the Jets

Better keep one road and heard she's back
In a mohair suit signing autographs
She hates the media, it brings her down
But when you decide you gonna need your fans
Make a flip flop when your CD out
She was sitting up but you'll need it now
You believe in luck, ?
'cause either way you gonna need it now, now
They can build you up so they can break you down, yeah
Cry tears of joy so they can see you drown, yeah
Chew you up and then they spit you out
You are now a victim of the crowd, and music's lost its soul
And the female's selling sex and no concern in getting more
So they concerts on they souls
So they concerts on they labels
That we pay them to perform
See, the way this game is set up
We can't let this show go on, no
We gonna love the when the party's over
I'm saying everybody love 'em but nobody know 'em
I'm saying everybody know you but nobody need you
So will she still be in your heart when she ain't in your speakers?

Sure, Candy and Ronnie, have you seen them yet
But they're so spaced out,
Bennie and the Jets, yeah
Oh, yeah but they're weird and they're wonderful
Oh, Bennie, she's really keen
She's got electric boots, a mohair suit
You know I read it in a magazine
Oh Bennie and the Jets yeah

Hey Bennie (Bennie)
Oh Bennie (Bennie, Bennie and the Jets)
Oh, you look so good on that stage, baby, yeah
Ey Bennie, oh Bennie, yeah Bennie, Bennie
Bennie and the Jets baby
Oh my God, ooh, yeah
Bennie, Bennie, Bennie, Bennie, Bennie and the Jets
Oh, do you think we'll meet up after the show?
I sure hope so now
Yeah, she makes the mohair suit look so good
So good
I mean, where do you get a mohair suit anyway? Ah man
Bennie and the Jets baby, yeah yeah, oh my God
Rock on, alright
Wild times
Right time"
Elton John,"She's got electric boots a mohair suit
You know I read it in a magazine, oh
B-B-B-Bennie and the Jets

Hey kids, shake it loose together
The spotlight's hitting something that's been known to change the weather
We'll kill the fatted calf tonight
So stick around
You're gonna hear electric music solid walls of sound

Say, Candy and Ronnie, have you seen them yet
Uh but they're so spaced out, B-B-B-Bennie and the Jets
Oh but they're weird and they're wonderful
Oh Bennie she's really keen
She's got electric boots a mohair suit
You know I read it in a magazine oh
B-B-B-Bennie and the Jets

Let me get it now, Momma I made it
True story, I have upgraded
Everybody back then used to hate it
Now they all appreciate it
I might sound out of my mind, matter of fact out of line
But I been runnin' and gunnin', been fightin' for somethin' and in due time
I'm finna take it to the line, I'm in the beginning of the prime
Tony Montana the world's mine
Yeah, it's finally 'bout time
Went from Section 8 to better times
Serving food to writin' rhymes
For Elton John, the greatest of all-time

Hey kids, plug into the faithless
Maybe they're blinded
But Bennie makes them ageless
We shall survive, let us take ourselves along
Where we fight our parents out in the streets
To find who's right and who's wrong

Say, Candy and Ronnie, have you seen them yet?
Oh, but they're so spaced out
B-B-B-Bennie and the Jets
Oh but they're weird and they're wonderful
Oh Bennie, she's really keen

She's got electric boots
A mohair suit
You know I read it in a magazine oh yeah
B-B-B-Bennie and the Jets
Bennie, Bennie, Bennie, and the Jets, yeah, oh"
Elton John,"There was a face on a hoarding that someone had drawn on
And just enough time for the night to pass by without warning
Away in the distance there's a blue flashing light
Someone's in trouble somewhere tonight
As the flickering neon stands ready to fuse
The wind blows away all of yesterday's news

Well they've locked up their daughters and they battened the hatches
They always could find us but they never could catch us
Through the grease streaked windows of an all night cafe
We watched the arrested get taken away
And that cigarette haze has ecology beat
As the whores and the drunks filed in from the street

Cause the steam's in the boiler, the coal's in the fire
If you ask how I am, then I'll just say inspired
If the thorn of a rose, is the thorn in your side
Then you're better off dead, if you haven't yet died"
Elton John,"I wonder who's sleeping in your sheets tonight
Whose head rests upon the bed
Could it be a close friend I knew so well
Who seems to be so close to you instead
Close to you instead

I'm blue tonight, I'm red when I'm mad
I'm green when I'm jealous, yellow when I'm sad
I guess I cannot have everything
So much has flown between the years
When I was twenty and you were seventeen

So out of choice I chose rock and roll
But it pushed me to the limit everyday
It turned me into a gypsy, kept me away from home
From there on, there seemed no use for you
For you to stay

And if I shower around 3 a.m.
It's just to wash away
The trace of a love unwanted
Oh in the times I went astray
The times I went astray

So much has flown between the years
When I was twenty and you were seventeen"
Elton John,"They'll tear out your heart, throw it knee-deep in a cart
'cause that's what they do with the scum like me and you
And you feel as if you died, whilst you're standing on the line
And you wonder all the time why can't you cry?
But the people in control don't care for you
They're just a robot with a job to do
And when your use is exhausted, they'll be rid of you
As soon as look at you, go to the back of the queue!

be-be-Big brother's got no heart
When I get my chance
I'm gonna kick him in the ah-ah-ah-ah-ah
Big brother's got no heart
When I get my chance
I'm gonna kick him in the ah (sh) ah (sh) ah (sh) ah (sh) arse

His eyes are dull, they stole his soul
They left him to rot in some stinking council hole
Where they keep him doped on beer and hopes
Of television dreams he's living on the screens
He knows something that he used to believe in
That was: Every human being should have his freedom
But while his dungeon had a way to show him
He should be more useful, as they broke into his skull

be-be-Big brother's got no heart
When I get my chance
I'm gonna kick him in the ah-ah-ah-ah-ah
Big brother's got no heart
When I get my chance
I'm gonna kick him in the ah (sh) ah (sh) ah (sh) ah (sh) arse

Big brother, beware, 'cause some of us do care
And the worm (and the worm, and the worm, and the worm)
May turn (may turn, may turn, may turn)
And the violence (and the violence, and the violence, and the violence)
In my head (in my head, in my head, in my head) is real
Bam-bam, you're dead!

be-be-Big brother's got no heart
When I get my chance
I'm gonna kick him in the ah-ah-ah-ah-ah
Big brother's got no heart
When I get my chance
I'm gonna kick him in the ah (sh) ah (sh) ah (sh) ah (sh) arse

be-be-Big brother's got no heart
When I get my chance
I'm gonna kick him in the ah-ah-ah-ah-ah
Big brother's got no heart
When I get my chance
I'm gonna kick him in the ah (sh) ah (sh) ah (sh) ah (sh) arse

Arse!



"
Elton John,"Now I saw you talking to a cute little slip of a sailor
And it looked at first like the whole thing would end as a failure
He had a thing about a quarter to four
And he just couldn't handle any more
He's got his own big dipper so he won't be needing your big dipper
He's got his own big dipper and he won't be needing yours

So you filled him up with all kinds of stuff to relax him
And you took him down to the fairground after some action
And by around about a quarter to six
You found a different way to get your kicks
Up on the real big dipper where you tried an few new tricks
Big dipper
Up on a great big dipper did you learn a few new licks

He hadn't been too keen at the start
Now he seems to have a change of heart
He's got his own big dipper
Only now he's not so sure, big dipper
He's got his own big dipper
But there's always room for more

Everybody's got a song to sing
Everybody's got to do their thing, big dipper, big dipper

And at around about a quarter to ten
You got up and did it all again
He's got his own big dipper and now he knows just what it's for
Big dipper
He's got his own big dipper but he's got his eye on yours

Another ride, another tune
Another crazy afternoon
Another reason for squeezing your big dipper"
Elton John,"You went uptown riding in your limousine
In your fine Park Avenue clothes
You had the Dom Perignon in your hand
And the spoon up your nose
And when you wake up in the morning
With your head on fire
And your eyes too bloody to see
Go on and cry in your coffee
But don't come bitchin' to me

Because you had to be a big shot, didn't you
You had to open up your mouth
You had to be a big shot, didn't you
All your friends were so knocked out
You had to have the last word, last night
You know what everything's about
You and to have a white hot spotlight
You had to be a big shot last night

They were all impressed with your Halston dress
And the people you knew at Elaine's
And the story of your latest success
Kept 'em so entertained
But now you just can't remember
All the things you said
And you're not sure you want to know
I'll give you one hint, honey
You sure did put on a show

Yes, yes, you had to be a big shot, didn't you
You had to prove it to the crowd
You had to be a big shot, didn't you
All your friends were so knocked out
You hand to the last word, last night
You're so much fun to be around
You had to have the front page, bold type
You had to be a big shot last night

Well, it's no big sin to stick your two cents in
If you know when to leave it alone
But you went over the line
You couldn't see it was time to go home
No, no, no, no, no, no, you had to be a big shot, didn't you
You had to open up your mouth
You had to be a big shot, didn't you
All your friends were so knocked out
You had to have the last word, last night
So much fun to be around
You had to have a white hot spotlight
You had to be a big shot last night"
Elton John,"Take the wheel I hear the timbers creaking
Take the wheel I think this ship is sinking
Jamaica seems so far and I've been thinking
Old Billy Bones has gone to sea and quit his dockside drinking

Check it out, check it out, check it out

And when I'm dead who'll fly the White Bird home
I'm not the ancient mariner your children know
And the sea's the field these old jack tars have sown
Cause Billy Bones just wants to know who'll fly the White Bird home

Oh your majesty, your majesty
I heard the boson cry
Old Billy Bones has washed ashore
Upon a foreign tide"
Elton John,"ThereÂ´s some things I donÂ´t have now
Some things I donÂ´t talk about
These things are between myself and I
In my thick skull the joker hides

ThereÂ´s consequences IÂ´m scared to taste
Cold hard truths I canÂ´t face
These days are different than the past
Reflections change in the looking glass

And everywhere I look thereÂ´s something to learn
A sliver of truth from every bridge we burn
A hatful of quarters and a naked song
DonÂ´t answer the question of where we belong

How come birds
DonÂ´t fall from the sky when they die?
How come birds
Always look for a quiet place to hide
These words
CanÂ´t explain what I feel inside?
Like birds I need a quiet place to hide

These independent moves I make
This confidence I try to fake
You can hear the beating of my heart
But not a feather falling in the dark

And everything I hear never makes any sense
Another old prophet perched on the fence
A cupful of pencils and a self help guru
DonÂ´t answer the question of what I am to you"
Elton John,"I was justified when I was five
Raisin' Cain, I spit in your eye
Times are changin' now the poor get fat
But the fever's gonna catch you when the bitch gets back, oh, oh, oh

Eat meat on a Friday, that's all right
Even like steak on a Saturday night
I can bitch the best at your social do's
I get high in the evening sniffing pots of glue, oh, oh, oh

I'm a bitch, I'm a bitch oh, the bitch is back
Stone cold sober as a matter of fact
I can bitch, I can bitch 'cause I'm better than you
It's the way that I move, the things that I do oh

I entertain by picking brains
Sell my soul, by dropping names
I don't like those! My God, what's that!
Oh, it's full of nasty habits when the bitch gets back.

I'm a bitch, I'm a bitch oh, the bitch is back
Stone cold sober as a matter of fact
I can bitch, I can bitch 'cause I'm better than you
It's the way that I move, the things that I do oh

I'm a bitch, I'm a bitch oh, the bitch is back
Stone cold sober as a matter of fact
I can bitch, I can bitch 'cause I'm better than you
It's the way that I move, the things that I do oh

Bitch, bitch, the bitch is back
Bitch, bitch, the bitch is back
Bitch, bitch, the bitch is back
Bitch, bitch, the bitch is back
Bitch, bitch, the bitch is back
Bitch, bitch, the bitch is back
Bitch, bitch, the bitch is back
Bitch, bitch, the bitch is back"
Elton John,"She slid down to the city limits
Monkey time in fifteen minutes
Bite your lip, get up, get up and dance.
Don't let me down
Please stick around
Bite your lip, get up, get up and dance.

Strobe light on funky feet,
Soul children in the disco heat.
Top dog, top cat,
Move that muscle and shake that fat.
Bite your lip, get up, get up and dance.

Chicago, L.A.
Everyplace, everyway
Bite your lip, get up, get up and dance.

Illinois, Santa Fe,
Do do do do do do do what I say
Bite your lip, get up, get up and dance."
Elton John,"I'm going on the circuit, I'm doing all the clubs
And I really need a song boys to stir those workers up
And get their wives to sing it with me just like in the pubs
When I worked the good old pubs in Stepney

Oh could you knock a line or two together for a friend
Sentimental tear inducing with a happy end
And we need a tune to open our season at Southend
Can you help us

It's hard to write a song with bitter fingers
So much to prove, so few to tell you why
Those old die-hards in Denmark Street start laughing
At the keyboard player's hollow haunted eyes
It seems to me a change is really needed
I'm sick of tra-la-las and la-de-das
No more long days hacking hunks of garbage
Bitter fingers never swung on swinging stars, swinging stars

I like the warm blue flame, the hazy heat it brings
It loosens up the muscles and forces you to sing
You know it's just another hit and run from the tin pan alley twins

And there's a chance that one day you might write a standard lads
So churn them out quick and fast and we'll still pat your backs
'Cause we need what we can get to launch another dozen acts
Are you working

It's hard to write a song with bitter fingers
So much to prove, so few to tell you why
Those old die-hards in Denmark Street start laughing
At the keyboard player's hollow haunted eyes
It seems to me a change is really needed
I'm sick of tra-la-las and la-de-das
No more long days hacking hunks of garbage
Bitter fingers never swung on swinging stars, swinging stars

It's hard to write a song with bitter fingers
So much to prove, so few to tell you why
Those old die-hards in Denmark Street start laughing
At the keyboard player's hollow haunted eyes
It seems to me a change is really needed
I'm sick of tra-la-las and la-de-das
No more long days hacking hunks of garbage
Bitter fingers never swung on swinging stars, swinging stars

La-de-das, swing stars, swinging stars
It's hard to write a song with bitter fingers
So much to prove, so few to tell you why
Those old die-hards in Denmark Street start laughing"
Elton John,"I am the Blackman and you are the white
I am the deviant and you're always right
I am the darkness and you are the light
I am the Blackman, you're the white

Yeah, I'm the good little holier than thou, hide my head in my hand
I hear no, see no, speak no, no, no, no understand

Well, I am the blackness, I am the dark
I am the alcoholic beast in a park
I am the girl who sold her body to the dark
I am the truth of it, you are the hypocrite

I am the dirty and you are the clean
I live in places where you've never been
I eat the garbage and you eat the cream
I am the dirty, you're the clean

You give me the third degree for being different to thee
You hit me, you kick me, you tell me [Incomprehensible] I should be

Well, I am the blackness, I am the dark
I am the alcoholic beast in a park
I am the girl who sold her body to the dark
I am the truth of it, you are the hypocrite

I am the white man, I paint you black
I am the traitor but I put you on the whack
I am the coward, I shoot you in the back
I am the white man, I paint you black

Yeah, I'm the good little holier than thou, hide my head in my hand
I hear no, see no, speak no, no, no, no understand

Well, I am the blackness, I am the dark
I am the alcoholic beast in a park
I am the girl who sold her body to the dark
I am the truth of it, you are the hypocrite

Say I am the blackness, I am the dark
I am the alcoholic beast in a park
I am the girl who sold her body to the dark
I am the truth of it, you are the hypocrite
Blackman
"
Elton John,"Hey you, you're a child in my head
You haven't walked yet
Your first words have yet to be said
But I swear you'll be blessed

I know you're still just a dream
your eyes might be green
Or the bluest that I've ever seen
Anyway you'll be blessed

And you, you'll be blessed
You'll have the best
I promise you that
I'll pick a star from the sky

Pull your name from a hat
I promise you that, promise you that, promise you that
You'll be blessed

I need you before I'm too old
To have and to hold
To walk with you and watch you grow
And know that you're blessed"
Elton John,"I gotta quit this habit
It's like some drug for you
You've been my sweet sweet addict
I've been your little white boy blue

You've got the same obsession
We ain't no cat and mouse
You linger on my lips like confession
You laid the traps in this house

And it's no use each way we lose
You and me at the crossroads of Blue Avenue
Hit and run hearts collide here
True love passes through
Looks like we've got a wreck babe
Up on Blue Avenue
Up on Blue Avenue
Blue Avenue

Two hearts get entangled
Dirty minds they go to town
Everyone's got an angle
Little lies get spread around

Let them say what they want
You and me we already knew
Takes more than hocus pocus babe
To save you from Blue Avenue"
Elton John,"Blue eyes
Baby's got blue eyes
Like a deep blue sea
On a blue blue day

Blue eyes
Baby's got blue eyes
When the morning comes
I'll be far away
And I say

Blue eyes holding back the tears
Holding back the pain
Baby's got blue eyes
And she's alone
Again

Blue eyes
Baby's got blue eyes
Like a clear blue sky
Watching over me

Blue eyes
Ooh I love blue eyes
When I'm by her side
Where I long to be
I will see

Blue eyes laughing in the sun
Laughing in the rain
Baby's got blue eyes
And I am home, and I am home again

Blue eyes laughing in the sun
Laughing in the rain
Baby's got blue eyes
And I am home again"
Elton John,"Blue eyes
 Baby's got blue eyes
 Like a deep blue sea
 On a blue blue day
 Blue eyes
 Baby's got blue eyes
 When the morning comes
 I'll be far away
 And I say

 Blue eyes
 Holding back the tears
 Holding back the pain
 Baby's got blue eyes
 And she's alone again

 Blue eyes
 Baby's got blue eyes
 Like a clear blue sky
 Watching over me
 Blue eyes
 I love blue eyes
 When I'm by her side
 Where I long to be
 I will see

 Blue eyes laughing in the sun
 Laughing in the rain
 Baby's got blue eyes
 And I am home, and I am home again"
